TIME,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1900-01-01 00:00:00,282069.0,343550.0,378110.0,397086.0,408658.0,440015.0,389528.0
1900-01-01 04:00:00,145267.0,165948.0,182963.0,163715.0,168538.0,105186.0,95990.0
1900-01-01 08:00:00,603493.0,644119.0,687230.0,679323.0,708526.0,347029.0,238365.0
1900-01-01 12:00:00,758653.0,793316.0,829291.0,828620.0,849480.0,658476.0,568487.0
1900-01-01 16:00:00,864527.0,925721.0,910694.0,930085.0,933888.0,780667.0,712928.0
1900-01-01 20:00:00,798272.0,852455.0,857488.0,860122.0,892497.0,686013.0,602307.0
